	循環器内科		1	050050xx0200xx	狭心症，慢性虚血性心疾患　ＰＣＩ　<br>心カテ，心カテ+血管内超音波検査あり	1,136	4.49	4.36	0.79%	71.5						
	循環器内科		2	050070xx01x0xx	頻脈性不整脈　経皮的カテーテル心筋焼灼術	1026	4.82	4.79	0.68%	65.7						
	循環器内科		3	050050xx9910xx	狭心症，慢性虚血性心疾患　手術なし　心カテあり	1,009	2.47	3.06	0.40%	72.0						
	循環器内科		4	050050xx9920xx	狭心症，慢性虚血性心疾患　手術なし　心カテ+血管内超音波検査あり	535	2.64	3.270	0.19%	72.8						
	循環器内科		5	050210xx97000x	徐脈性不整脈　ペースメーカー移植術処置術　<br>心カテ，心臓電気生理学的検査あり	380	9.53	10.24	6.32%	78.9						

	心臓血管外科		1	050080xx0101xx	弁膜症（連合弁膜症を含む）　弁置換術等　中心静脈等あり	139	20.96	21.93	7.19%	65.9						
	心臓血管外科		2	050050xx0101xx	狭心症，慢性虚血性心疾患　<br>冠動脈，大動脈バイパス移植術等　中心静脈注射等あり	59	21.37	21.69	13.56%	69.7						心臓血管外科		3	050161xx97x1xx	解離性大動脈瘤　オープン型ステントグラフト内挿術（上行大動脈及び弓部大動脈の同時手術）等　<br>中心静脈注射等あり	57	31.35	29.08	33.33%	69.1			心臓血管外科		4	050163xx01x1xx	非破裂性大動脈瘤，腸骨動脈瘤　大動脈瘤切除術（吻合又は移植を含む）等<br>中心静脈注射等あり	45	28.07	28.08	13.33%	70.9					心臓血管外科		5	050163xx03x1xx	非破裂性大動脈瘤，腸骨動脈瘤　ステントグラフト内挿術等　<br>中心静脈注射等あり	40	13.63	15.18	5.00%	78.1		
				
	血管外科	1	050180xx02xxxx	静脈・リンパ管疾患　下肢静脈瘤血管内焼灼術等	40	3.20	2.75	0.00%	68.2						
	血管外科	2	050163xx97x0xx	非破裂性大動脈瘤，腸骨動脈瘤　<br>内腸骨動脈塞栓術等　	36	4.28	8.16	0.00%	76.3						
	血管外科	3	050163xx03x1xx	非破裂性大動脈瘤，腸骨動脈瘤　<br>ステントグラフト内挿術等　中心静脈注射等	26	11.69	15.18	3.85%	75.5						
	血管外科	4	050163xx02x1xx	非破裂性大動脈瘤，腸骨動脈瘤　大動脈瘤切除術（吻合又は移植を含む）等　中心静脈注射あり　	19	19.58	19.66	0.00%	72.5					
	血管外科	5	050163xx03x0xx	非破裂性大動脈瘤，腸骨動脈瘤　ステントグラフト内挿術等　	17	10.18	11.06	0.00%	74.0							

	脳神経外科	1	010030xx9910xx	未破裂脳動脈瘤　手術なし　動脈造影カテーテル法あり	308	2.87	2.99	0.00%	61.4						
	脳神経外科	2	010030xx03x0xx	未破裂脳動脈瘤　脳血管内手術等　	127	8.71	9.35	0.79%	60.1						
	脳神経外科	3	010070xx9912xx	脳血管障害　手術なし　動脈造影カテーテル法あり　ＳＰＥＣＴ等あり	84	3.42	4.94	0.00%	66.7						
	脳神経外科	4	010040x099000x	非外傷性頭蓋内血腫（非外傷性硬膜下血腫以外）（JCS10未満）　手術なし　	70	16.66	18.90	64.29%	69.2						
	脳神経外科	5	010060x2990401	脳梗塞（脳卒中発症3日目以内，かつ，JCS10未満）　手術なし<br>エダラボンあり　発症前Rankin Scale 0，1又は2	63	11.52	15.63	36.51%	71.7						
	
