	循環器内科	1	K5951  	経皮的カテーテル心筋焼灼術  	763	1.5	2.7	1.0	66.7						
	循環器内科	2	K5493	経皮的冠動脈ステント留置術（その他）	672	1.8	2.5	1.8	72.3						
	循環器内科	3	K616	下肢血管拡張術・血栓除去	484	1.9	6.7	9.7	76.1						
	循環器内科	4	K555-22	経カテーテル大動脈弁置（経皮的大動脈弁置換術）	335	6.5	10.8	13.1	83.9						
	循環器内科	5	K5463	経皮的冠動脈形成術（その他）	284	1.1	2.1	1.1	71.8						
	心臓血管外科	1	K5551	弁置換術（１弁のもの）	85	4.9	20.4	11.8	67.1						
	心臓血管外科	2	K552-22	冠動脈，大動脈バイパス移植術（人工心肺なし２吻合以上）	57	6.5	20.4	17.5	68.4						
	心臓血管外科	3	K5612ｲ	胸部大動脈瘤ステントグラフト内挿術	42	6.8	16.6	26.2	75.9						
	心臓血管外科	4	K5522	冠動脈，大動脈バイパス移植術（２吻合以上のもの）	38	6.5	20.0	21.1	69.1						
	心臓血管外科	5	K5552	弁置換術（２弁のもの）	38	5.9	28.3	21.1	69.8						
	血管外科	1	K617-4	下肢静脈瘤血管内焼灼術	38	1.1	1.3	2.6	67.4						
	血管外科	2	K5612ﾛ	腹部大動脈瘤ステントグラフト内挿術	22	2.3	8.9	4.5	77.0						
	血管外科	3	K5606	大動脈瘤切除術（腹部大動脈（分枝血管再建を伴うもの）	21	2.1	17.9	9.5	72.5						
	血管外科	4	K5607	大動脈瘤切除術（腹部大動脈（その他のもの））	19	2.8	19.1	5.3	76.3						
	血管外科	5	K6153	血管塞栓術（頭部、胸腔、腹腔内血管等）（その他）	14	1.9	2.2	0.0	77.4						
	脳神経外科	1	K1783	脳血管内手術（脳血管内ステント）	97	1.8	6.1	4.1	61.5						
	脳神経外科	2	K178-4	経皮的脳血栓回収術	74	0.1	21.9	67.6	80.2						
	脳神経外科	3	K164-2	慢性硬膜下血腫穿孔洗浄術	67	0.6	10.1	43.3	77.7						
	脳神経外科	4	K1781	脳血管内手術（１箇所）	51	1.2	22.4	31.4	70.5						
	脳神経外科	5	K609-2	経皮的頸動脈ステント留置術	41	1.8	7.5	9.8	73.5						
	外科	1	K672-2	腹腔鏡下胆嚢摘出術	124	2.2	6.5	5.6	67.4						
	外科	2	K719-3	腹腔鏡下結腸悪性腫瘍切除術	63	5.3	13.4	9.5	75.9						
	外科	3	K634	腹腔鏡下鼠径ヘルニア手術（両側）	38	1.5	4.3	0.0	74.1						
	外科	4	K4762	乳房部分切除術（腋窩部郭清を伴わないもの）	27	1.4	4.9	0.0	68.0						
	外科	5	K6335	ヘルニア手術（鼠径ヘルニア）	25	2.3	4.8	4.0	72.2						
	呼吸器外科	1	K514-21	胸腔鏡下肺悪性腫瘍手術（部分切除）	39	1.9	7.7	7.7	73.5						
	呼吸器外科	2	K514-23	胸腔鏡下肺悪性腫瘍手術（肺葉切除又は１肺葉を超えるもの）	37	1.9	9.5	5.4	72.8						
	呼吸器外科	3	K514-22	胸腔鏡下肺悪性腫瘍手術（区域切除）	26	2.5	8.3	3.8	72.9						
	呼吸器外科	4	K5132	胸腔鏡下肺切除術（部分切除）	14	1.6	7.4	0.0	73.6						
	呼吸器外科	5	K5131	胸腔鏡下肺切除術（肺嚢胞手術（楔状部分切除））	10	8.2	7.0	10.0	62.9						
	消化器内科	1	K688	内視鏡的胆道ステント留置術	117	1.5	8.7	10.3	76.1						
